[DEBUG] 2015-07-20 01:48:16.665 	 [AI] Specimen 10 created.
[DEBUG] 2015-07-20 01:48:16.665 	 [AI] Specimen 11 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 12 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 13 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 14 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 15 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 16 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 17 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 18 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 19 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 20 created.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Generation 0 initiated.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Generation 0 started processing simulations.
[DEBUG] 2015-07-20 01:48:16.666 	 [AI] Specimen 1 starting simulation.
[DEBUG] 2015-07-20 01:48:16.685 	 [AI] Specimen 1 finished simulation.
[DEBUG] 2015-07-20 01:48:16.685 	 [AI] Specimen 2 starting simulation.
[DEBUG] 2015-07-20 01:48:16.691 	 [AI] Specimen 2 finished simulation.
[DEBUG] 2015-07-20 01:48:16.691 	 [AI] Specimen 3 starting simulation.
[DEBUG] 2015-07-20 01:48:16.697 	 [AI] Specimen 3 finished simulation.
[DEBUG] 2015-07-20 01:48:16.697 	 [AI] Specimen 4 starting simulation.
[DEBUG] 2015-07-20 01:48:16.703 	 [AI] Specimen 4 finished simulation.
[DEBUG] 2015-07-20 01:48:16.703 	 [AI] Specimen 5 starting simulation.
[DEBUG] 2015-07-20 01:48:16.708 	 [AI] Specimen 5 finished simulation.
[DEBUG] 2015-07-20 01:48:16.708 	 [AI] Specimen 6 starting simulation.
[DEBUG] 2015-07-20 01:48:16.715 	 [AI] Specimen 6 finished simulation.
[DEBUG] 2015-07-20 01:48:16.715 	 [AI] Specimen 7 starting simulation.
[DEBUG] 2015-07-20 01:48:16.722 	 [AI] Specimen 7 finished simulation.
[DEBUG] 2015-07-20 01:48:16.722 	 [AI] Specimen 8 starting simulation.
[DEBUG] 2015-07-20 01:48:16.73 	 [AI] Specimen 8 finished simulation.
[DEBUG] 2015-07-20 01:48:16.73 	 [AI] Specimen 9 starting simulation.
