[INFO] 2015-07-20 01:49:12.111 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:12.111 	 [AI] Generation 9 added to sandbox.
[INFO] 2015-07-20 01:49:12.111 	 [AI] Generation 9 initiated.
[INFO] 2015-07-20 01:49:12.111 	 [AI] Generation 9 started processing simulations.
[INFO] 2015-07-20 01:49:12.239 	 [AI] Generation 9 finished processing simulations.
[INFO] 2015-07-20 01:49:12.239 	 [AI] Generation 9 successfully evaluated.
[INFO] 2015-07-20 01:49:12.239 	 [AI] Generation: #9 Best specimen: ID [9000181] evaluation = -996 values: 15/9/5
[INFO] 2015-07-20 01:49:18.241 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:18.241 	 [AI] Generation 10 added to sandbox.
[INFO] 2015-07-20 01:49:18.241 	 [AI] Generation 10 initiated.
[INFO] 2015-07-20 01:49:18.241 	 [AI] Generation 10 started processing simulations.
[INFO] 2015-07-20 01:49:18.379 	 [AI] Generation 10 finished processing simulations.
[INFO] 2015-07-20 01:49:18.379 	 [AI] Generation 10 successfully evaluated.
[INFO] 2015-07-20 01:49:18.379 	 [AI] Generation: #10 Best specimen: ID [10000201] evaluation = -996 values: 15/9/5
[INFO] 2015-07-20 01:49:24.381 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:24.381 	 [AI] Generation 11 added to sandbox.
[INFO] 2015-07-20 01:49:24.381 	 [AI] Generation 11 initiated.
[INFO] 2015-07-20 01:49:24.381 	 [AI] Generation 11 started processing simulations.
[INFO] 2015-07-20 01:49:24.53 	 [AI] Generation 11 finished processing simulations.
[INFO] 2015-07-20 01:49:24.53 	 [AI] Generation 11 successfully evaluated.
[INFO] 2015-07-20 01:49:24.53 	 [AI] Generation: #11 Best specimen: ID [11000221] evaluation = -996 values: 15/9/10
[INFO] 2015-07-20 01:49:30.532 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:30.532 	 [AI] Generation 12 added to sandbox.
[INFO] 2015-07-20 01:49:30.532 	 [AI] Generation 12 initiated.
[INFO] 2015-07-20 01:49:30.532 	 [AI] Generation 12 started processing simulations.
